Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2021,452.000,KG,6780.000,1500.000,8280.000,15.000,18.318,18.318,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2021,453.000,KG,33077.000,20.000,33097.000,73.017,73.061,73.061,0.000,JAPAN,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2021,357.000,KG,5355.000,500.000,5855.000,15.000,16.400,16.400,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2021,416.000,KG,6786.000,200.000,6986.000,16.312,16.793,16.793,0.000,HONDURAS,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2021,300.000,KG,16860.000,1200.000,18060.000,56.200,60.200,60.200,0.000,HONDURAS,"DALLAS/FORT WORTH, TEXAS"
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2021,288.000,KG,7825.000,1500.000,9325.000,27.170,32.378,32.378,0.000,CHILE,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2021,6700.000,KG,70742.000,100.000,70842.000,10.558,10.573,10.573,0.000,JAPAN,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2021,800.000,KG,34770.000,500.000,35270.000,43.462,44.087,44.087,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2021,3971.000,KG,41922.000,2249.000,44171.000,10.557,11.123,11.123,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2021,1703.000,KG,16265.000,4747.000,21012.000,9.550,12.338,14.725,19.350,CHINA,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/10/2021,1000.000,KG,17980.000,500.000,18480.000,17.980,18.480,18.480,0.000,HONDURAS,SAVANNAH GA.
